CITY,BRAND,WEIGHT,LOW,HIGH,AVG
MANILA,LIQUIGAZ,11 KG,790,790,790
MANILA,LUZON GAS,11 KG,665,635,650
MANILA,Masagana Gas,11 KG,638,627,632.5
MANILA,Masagana Gas,11 KG,655,655,655
MANILA,Masagana Gas,11 KG,655,655,655
MANILA,PHIL/SALES GAS,11 KG,705,680,692.5
MANILA,PHILGAS,11 KG,705,680,692.5
MANILA,REGASCO,11 KG,729,729,729
MANILA,REGASCO,11 KG,640,620,630
MANILA,SHINE GAZ,11 KG,670,640,655
MANILA,SOLANE,11 KG,836,803,819.5
MANILA,SOLANE,11 KG,836,803,819.5
MANILA,TONG & MILES,11 KG,780,750,765
MANILA,TOTAL GAS/SUPERKALAN,11 KG,724,721,722.5
MANILA,TOTAL GAS/SUPERKALAN,11 KG,729,721,725
MANILA,TOTAL GAS/SUPERKALAN,11 KG,750,742,746
MANILA,TOTAL GAS/SUPERKALAN,11 KG,798,790,794
MARIKINA,EC GAS,11 KG,890,860,875
MARIKINA,FIESTA GAS,11 KG,730,722,726
MARIKINA,GASUL,11 KG,810,802,806
MARIKINA,SOLANE,11 KG,811,803,807
MUNTINLUPA CITY,BRENT GAS,11 KG,764,756,760
MUNTINLUPA CITY,BRENT GAS,11 KG,756,756,756
MUNTINLUPA CITY,BRENT GAS,11 KG,764,756,760
MUNTINLUPA CITY,FIESTA GAS,11 KG,730,722,726
MUNTINLUPA CITY,GASUL,11 KG,810,802,806
MUNTINLUPA CITY,ISLAND GAS,11 KG,821,788,804.5
MUNTINLUPA CITY,MALAYA GAS,11 KG,680,647,663.5
MUNTINLUPA CITY,N‐GAS,11 KG,670,710,690
MUNTINLUPA CITY,SOLANE,11 KG,811,803,807
MUNTINLUPA CITY,TIN & MIG,11 KG,660,630,645
MUNTINLUPA CITY,VIC'S LPG,11 KG,650,610,630
NAVOTAS,FIESTA GAS,11 KG,699,691,695
NAVOTAS,Gasul,11 KG,810,802,806
NAVOTAS,REGASCO,11 KG,658,636,647
NAVOTAS,SOLANE,11 KG,836,803,819.5
NAVOTAS,TOWN GAS,11 KG,639,628,633.5
PARANAQUE CITY,BRENT GAS,11 KG,756,756,756
PARANAQUE CITY,EC GAS,11 KG,937,905,921
PARANAQUE CITY,EC GAS,11 KG,890,880,885
PARANAQUE CITY,FIESTA GAS,11 KG,730,722,726
PARANAQUE CITY,GASUL,11 KG,810,802,806
PARANAQUE CITY,GASUL,11 KG,810,802,806
PARANAQUE CITY,GASUL,11 KG,810,802,806
PARANAQUE CITY,GASUL,11 KG,810,802,806
PARANAQUE CITY,FIESTA GAS,11 KG,730,722,726
PARANAQUE CITY,GASUL,11 KG,810,802,806
PARANAQUE CITY,ISLAND GAS,11 KG,783,750,766.5
PARANAQUE CITY,SOLANE,11 KG,806,798,802
PASAY CITY,EC GAS,11 KG,865,835,850
PASAY CITY,FIESTA GAS,11 KG,730,722,726
PASAY CITY,GASUL,11 KG,810,802,806
PASAY CITY,GASUL,11 KG,810,802,806
PASAY CITY,ISLAND GAS,11 KG,811,778,794.5
PASAY CITY,ISLAND GAS,11 KG,811,778,794.5
PASAY CITY,ISLAND GAS,11 KG,811,778,794.5
PASAY CITY,SOLANE,11 KG,811,803,807
PASIG CITY,EC GAS,11 KG,865,832,848.5
PASIG CITY,EC GAS,11 KG,885,853,869
PASIG CITY,FIESTA GAS,11 KG,730,722,726
PASIG CITY,FIESTA GAS,11 KG,730,722,726
PASIG CITY,GASUL,11 KG,810,802,806
PASIG CITY,GASUL,11 KG,810,802,806
PASIG CITY,ISLAND GAS,11 KG,805,775,790
PASIG CITY,ISLAND GAS,11 KG,803,760,781.5
PASIG CITY,ISLAND GAS,11 KG,812,779,795.5
PASIG CITY,PHOENIX SUPER LPG,11 KG,790,782,786
QUEZON CITY,BRENT GAS,11 KG,764,756,760
QUEZON CITY,BRENT GAS,11 KG,764,756,760
QUEZON CITY,BRENT GAS,11 KG,764,756,760
QUEZON CITY,CONTINENTAL GAS,11 KG,765,732,748.5
QUEZON CITY,EC GAS,11 KG,890,860,875
QUEZON CITY,EQUIGAZ,11 KG,720,705,712.5
QUEZON CITY,FIESTA GAS,11 KG,730,722,726
QUEZON CITY,FIESTA GAS,11 KG,730,722,726
QUEZON CITY,FIESTA GAS,11 KG,730,722,726
QUEZON CITY,FIESTA GAS,11 KG,730,722,726
QUEZON CITY,FIESTA GAS,11 KG,730,722,726
QUEZON CITY,FORTUNE GAS,11 KG,730,722,726
QUEZON CITY,GASUL,11 KG,810,802,806
QUEZON CITY,GASUL,11 KG,830,802,816
QUEZON CITY,GASUL,11 KG,810,802,806
QUEZON CITY,GASUL,11 KG,810,802,806
QUEZON CITY,GASUL,11 KG,810,802,806
QUEZON CITY,GASUL,11 KG,810,802,806
QUEZON CITY,GASUL,11 KG,810,802,806
QUEZON CITY,ISLAND AIR PRODUCTS,11 KG,790,760,775
QUEZON CITY,PRIME GAS,11 KG,790,760,775
QUEZON CITY,LUZON GAS,11 KG,680,655,667.5
QUEZON CITY,MGAS,11 KG,780,750,765
QUEZON CITY,PHOENIX SUPER LPG,11 KG,790,782,786
QUEZON CITY,REGASCO,11 KG,760,729,744.5
QUEZON CITY,REGASCO,11 KG,760,729,744.5
QUEZON CITY,REGASCO,11 KG,760,729,744.5
QUEZON CITY,REGASCO,11 KG,760,729,744.5
QUEZON CITY,SAM GAS,11 KG,775,742,758.5
QUEZON CITY,SOLANE,11 KG,811,836,823.5
QUEZON CITY,SOLANE,11 KG,811,836,823.5
QUEZON CITY,SOLANE,11 KG,811,836,823.5
QUEZON CITY,SOLANE,11 KG,811,836,823.5
San Juan City,BRENT GAS,11 KG,756,756,756
San Juan City,GASUL,11 KG,800,795,797.5
San Juan City,FIESTA GAS,11 KG,730,722,726
San Juan City,SOLANE,11 KG,811,803,807
TAGUIG CITY,BRENT GAS,11 KG,764,756,760
TAGUIG CITY,BRENT GAS,11 KG,764,756,760
TAGUIG CITY,FIESTA GAS,11 KG,730,722,726
TAGUIG CITY,GASUL,11 KG,810,802,806
TAGUIG CITY,PHILGAS,11 KG,640,620,630
TAGUIG CITY,PHOENIX SUPER LPG,11 KG,772,765,768.5
TAGUIG CITY,PHOENIX SUPER LPG,11 KG,772,765,768.5
TAGUIG CITY,PHOENIX SUPER LPG,11 KG,772,765,768.5
TAGUIG CITY,REGASCO,11 KG,640,620,630
TAGUIG CITY,SOLANE,11 KG,811,803,807
TAGUIG CITY,SUPERKALAN/TOTAL,11 KG,763,755,759
VALENZUELA CITY,BRENT GAS,11 KG,764,756,760
VALENZUELA CITY,FIESTA GAS,11 KG,730,722,726
VALENZUELA CITY,GASUL,11 KG,810,802,806
VALENZUELA CITY,ISLAND AIR PRODUCTS,11 KG,788,755,771.5
VALENZUELA CITY,MGAS,11 KG,788,755,771.5
VALENZUELA CITY,SOLANE,11 KG,836,803,819.5
PATEROS,BRENT GAS,11 KG,753,744,748.5
PATEROS,FIESTA GAS,11 KG,730,722,726
PATEROS,GASUL,11 KG,810,802,806
PATEROS,PHOENIX SUPER LPG,11 KG,772,765,768.5
PATEROS,SOLANE,11 KG,811,803,807
PATEROS,SUPERKALAN TOTAL,11 KG,788,779,783.5
CALOOCAN CITY,GASUL,7 KG,529,523,526
LAS PINAS CITY,GASULITO,7 KG,529,523,526
MAKATI CITY,GASUL,7 KG,529,523,526
MAKATI CITY,GASUL,7 KG,529,523,526
MALABON,GASUL,7 KG,529,523,526
MALABON,GASUL,7 KG,529,523,526
MANDALUYONG,GASUL,7 KG,529,523,526
MANDALUYONG,GASUL,7 KG,529,523,526
MANILA,GASUL,7 KG,529,523,526
MANILA,GASUL,7 KG,529,523,526
MANILA,GASUL,7 KG,529,523,526
MANILA,GASUL,7 KG,529,523,526
MANILA,GASUL,7 KG,529,523,526
MANILA,LUZON GAS,7 KG,423,404,413.5
MANILA,Masagana Gas,7 KG,474,474,474
MARIKINA,GASUL,7 KG,529,523,526
MUNTINLUPA CITY,GASUL,7 KG,529,523,526
NAVOTAS,Gasul,7 KG,529,523,526
PARANAQUE CITY,GASUL,7 KG,529,523,526
PARANAQUE CITY,GASUL,7 KG,529,523,526
PARANAQUE CITY,GASUL,7 KG,529,523,526
PARANAQUE CITY,GASUL,7 KG,529,523,526
PARANAQUE CITY,GASULITO,7 KG,529,523,526
PASAY CITY,GASUL,7 KG,529,523,526
PASAY CITY,GASUL,7 KG,529,523,526
PASIG CITY,GASUL,7 KG,529,523,526
PASIG CITY,GASUL,7 KG,529,523,526
QUEZON CITY,GASUL,7 KG,529,523,526
QUEZON CITY,GASUL,7 KG,529,523,526
QUEZON CITY,GASUL,7 KG,529,523,526
QUEZON CITY,GASUL,7 KG,529,523,526
QUEZON CITY,GASUL,7 KG,540,535,537.5
QUEZON CITY,GASUL,7 KG,529,523,526
QUEZON CITY,GASUL,7 KG,529,523,526
QUEZON CITY,GASUL,7 KG,529,523,526
QUEZON CITY,LUZON GAS,7 KG,432,416,424
San Juan City,GASUL,7 KG,520,515,517.5
TAGUIG CITY,GASUL,7 KG,529,523,526
VALENZUELA CITY,GASUL,7 KG,529,523,526
PATEROS,GASUL,7 kg,529,523,526
CALOOCAN CITY,BRENT GAS,5 KG,383,379,381
