CITY/ MUNICIPALITY,LPG BRANDS,LPG SIZE,LATEST PRICE,PREVIOUS PRICE,DIFFERENCE,REMARKS,LATITUDE,LONGITUDE,DATE
CALOOCAN CITY,BRENT GAS,11,909,909,0,retained,14.649042486161175,120.9907157,12-03-2023
CALOOCAN CITY,EC GAS,11,1019,1019,0,retained,14.649042486161175,120.9907157,12-03-2023
CALOOCAN CITY,FIESTA GAS,11,887,887,0,retained,14.649042486161175,120.9907157,12-03-2023
CALOOCAN CITY,GASUL,11,967,967,0,retained,14.649042486161175,120.9907157,12-03-2023
CALOOCAN CITY,GASUL ELITE,11,1017,1017,0,retained,14.649042486161175,120.9907157,12-03-2023
CALOOCAN CITY,REGASCO,11,875,875,0,retained,14.649042486161175,120.9907157,12-03-2023
CALOOCAN CITY,SOLANE,11,988,988,0,retained,14.649042486161175,120.9907157,12-03-2023
LAS PINAS CITY,BRENT GAS,11,909,909,0,retained,14.449678228154866,120.9825604,12-03-2023
LAS PINAS CITY,EC GAS,11,1030,1030,0,retained,14.449678228154866,120.9825604,12-03-2023
LAS PINAS CITY,FIESTA GAS,11,887,887,0,retained,14.449678228154866,120.9825604,12-03-2023
LAS PINAS CITY,GASUL,11,967,967,0,retained,14.449678228154866,120.9825604,12-03-2023
LAS PINAS CITY,GASUL ELITE,11,1017,1017,0,retained,14.449678228154866,120.9825604,12-03-2023
LAS PINAS CITY,M-GAS,11,946,946,0,retained,14.449678228154866,120.9825604,12-03-2023
LAS PINAS CITY,SOLANE,11,963,963,0,retained,14.449678228154866,120.9825604,12-03-2023
LAS PINAS CITY,SUPERKALAN,11,959,959,0,retained,14.449678228154866,120.9825604,12-03-2023
MAKATI CITY,EC GAS,11,973,973,0,retained,14.570490969638124,121.0273587,12-03-2023
MAKATI CITY,FIESTA GAS,11,887,887,0,retained,14.570490969638124,121.0273587,12-03-2023
MAKATI CITY,GASUL,11,967,967,0,retained,14.570490969638124,121.0273587,12-03-2023
MAKATI CITY,GASUL ELITE,11,1017,1017,0,retained,14.570490969638124,121.0273587,12-03-2023
MAKATI CITY,PHOENIX SUPER LPG,11,915,915,0,retained,14.570490969638124,121.0273587,12-03-2023
MAKATI CITY,SOLANE,11,968,968,0,retained,14.570490969638124,121.0273587,12-03-2023
MAKATI CITY,SUPERKALAN,11,959,959,0,retained,14.570490969638124,121.0273587,12-03-2023
MALABON CITY,FIESTA GAS,11,887,887,0,retained,14.65769504678559,120.9510164,12-03-2023
MALABON CITY,GASUL,11,967,967,0,retained,14.65769504678559,120.9510164,12-03-2023
MALABON CITY,GASUL ELITE,11,1017,1017,0,retained,14.65769504678559,120.9510164,12-03-2023
MALABON CITY,REGASCO,11,875,875,0,retained,14.65769504678559,120.9510164,12-03-2023
MALABON CITY,SOLANE,11,988,988,0,retained,14.65769504678559,120.9510164,12-03-2023
MALABON CITY,SUPERKALAN,11,1000,1000,0,retained,14.65769504678559,120.9510164,12-03-2023
MANDALUYONG CITY,EC GAS,11,1030,1030,0,retained,14.57772251896094,121.0336944,12-03-2023
MANDALUYONG CITY,BRENT GAS,11,909,909,0,retained,14.57772251896094,121.0336944,12-03-2023
MANDALUYONG CITY,FIESTA GAS,11,887,887,0,retained,14.57772251896094,121.0336944,12-03-2023
MANDALUYONG CITY,GASUL,11,967,967,0,retained,14.57772251896094,121.0336944,12-03-2023
MANDALUYONG CITY,GASUL ELITE,11,1017,1017,0,retained,14.57772251896094,121.0336944,12-03-2023
MANDALUYONG CITY,ISLAND GAS,11,1010,1010,0,retained,14.57772251896094,121.0336944,12-03-2023
MANDALUYONG CITY,SOLANE,11,988,988,0,retained,14.57772251896094,121.0336944,12-03-2023
MANDALUYONG CITY,SUPERKALAN,11,913,913,0,retained,14.57772251896094,121.0336944,12-03-2023
MANILA CITY,BRENT GAS,11,909,909,0,retained,14.589492920060476,120.9815468,12-03-2023
MANILA CITY,EC GAS,11,1030,1030,0,retained,14.589492920060476,120.9815468,12-03-2023
MANILA CITY,FIESTA GAS,11,887,887,0,retained,14.589492920060476,120.9815468,12-03-2023
MANILA CITY,GASUL,11,967,967,0,retained,14.589492920060476,120.9815468,12-03-2023
MANILA CITY,GASUL ELITE,11,1017,1017,0,retained,14.589492920060476,120.9815468,12-03-2023
MANILA CITY,ISLAND GAS,11,927,927,0,retained,14.589492920060476,120.9815468,12-03-2023
MANILA CITY,REGASCO,11,875,875,0,retained,14.589492920060476,120.9815468,12-03-2023
MANILA CITY,SOLANE,11,988,988,0,retained,14.589492920060476,120.9815468,12-03-2023
MANILA CITY,SUPERKALAN,11,925,925,0,retained,14.589492920060476,120.9815468,12-03-2023
MARIKINA CITY,BRENT GAS,11,909,909,0,retained,14.633174994074796,121.0992674,12-03-2023
MARIKINA CITY,FIESTA GAS,11,887,887,0,retained,14.633174994074796,121.0992674,12-03-2023
MARIKINA CITY,GASUL,11,967,967,0,retained,14.633174994074796,121.0992674,12-03-2023
MARIKINA CITY,GASUL ELITE,11,1017,1017,0,retained,14.633174994074796,121.0992674,12-03-2023
MARIKINA CITY,REGASCO,11,875,875,0,retained,14.633174994074796,121.0992674,12-03-2023
MARIKINA CITY,SOLANE,11,988,988,0,retained,14.633174994074796,121.0992674,12-03-2023
MUNTINLUPA CITY,BRENT GAS,11,909,909,0,retained,14.395039694008757,121.04424,12-03-2023
MUNTINLUPA CITY,FIESTA GAS,11,887,887,0,retained,14.395039694008757,121.04424,12-03-2023
MUNTINLUPA CITY,GASUL,11,967,967,0,retained,14.395039694008757,121.04424,12-03-2023
MUNTINLUPA CITY,GASUL ELITE,11,1017,1017,0,retained,14.395039694008757,121.04424,12-03-2023
MUNTINLUPA CITY,ISLAND GAS,11,930,930,0,retained,14.395039694008757,121.04424,12-03-2023
NAVOTAS CITY,BRENT GAS,11,909,909,0,retained,14.65795966717292,120.9479229,12-03-2023
NAVOTAS CITY,FIESTA GAS,11,887,887,0,retained,14.65795966717292,120.9479229,12-03-2023
NAVOTAS CITY,GASUL,11,967,967,0,retained,14.65795966717292,120.9479229,12-03-2023
NAVOTAS CITY,GASUL ELITE,11,1017,1017,0,retained,14.65795966717292,120.9479229,12-03-2023
NAVOTAS CITY,SOLANE,11,988,988,0,retained,14.65795966717292,120.9479229,12-03-2023
PARANAQUE CITY,BRENT GAS,11,909,909,0,retained,14.470659905253495,121.0223141,12-03-2023
PARANAQUE CITY,EC GAS,11,1060,1060,0,retained,14.470659905253495,121.0223141,12-03-2023
PARANAQUE CITY,FIESTA GAS,11,887,887,0,retained,14.470659905253495,121.0223141,12-03-2023
PARANAQUE CITY,GASUL,11,967,967,0,retained,14.470659905253495,121.0223141,12-03-2023
PARANAQUE CITY,GASUL ELITE,11,1017,1017,0,retained,14.470659905253495,121.0223141,12-03-2023
PARANAQUE CITY,ISLAND GAS,11,1015,1015,0,retained,14.470659905253495,121.0223141,12-03-2023
PARANAQUE CITY,SOLANE,11,963,963,0,retained,14.470659905253495,121.0223141,12-03-2023
PASAY CITY,EC GAS,11,973,973,0,retained,14.54370000083231,120.995024,12-03-2023
PASAY CITY,SOLANE,11,988,988,0,retained,14.54370000083231,120.995024,12-03-2023
PASAY CITY,FIESTA GAS,11,887,887,0,retained,14.54370000083231,120.995024,12-03-2023
PASAY CITY,GASUL,11,967,967,0,retained,14.54370000083231,120.995024,12-03-2023
PASAY CITY,GASUL ELITE,11,1017,1017,0,retained,14.54370000083231,120.995024,12-03-2023
PASAY CITY,ISLAND GAS,11,1008,1008,0,retained,14.54370000083231,120.995024,12-03-2023
PASIG CITY,EC GAS,11,1035,1035,0,retained,14.559611301566848,121.0812182,12-03-2023
PASIG CITY,FIESTA GAS,11,887,887,0,retained,14.559611301566848,121.0812182,12-03-2023
PASIG CITY,GASUL,11,967,967,0,retained,14.559611301566848,121.0812182,12-03-2023
PASIG CITY,GASUL ELITE,11,1017,1017,0,retained,14.559611301566848,121.0812182,12-03-2023
PASIG CITY,ISLAND GAS,11,977,977,0,retained,14.559611301566848,121.0812182,12-03-2023
PASIG CITY,PHOENIX SUPER LPG,11,920,920,0,retained,14.559611301566848,121.0812182,12-03-2023
PASIG CITY,SUPERKALAN,11,948,948,0,retained,14.559611301566848,121.0812182,12-03-2023
QUEZON CITY,BRENT GAS,11,909,909,0,retained,14.646432745195241,121.0500332,12-03-2023
QUEZON CITY,ISLAND GAS,11,950,950,0,retained,14.646432745195241,121.0500332,12-03-2023
QUEZON CITY,EC GAS,11,1010,1059,0,increased,14.646432745195241,121.0500332,12-03-2023
QUEZON CITY,FIESTA GAS,11,887,887,0,retained,14.646432745195241,121.0500332,12-03-2023
QUEZON CITY,GASUL,11,967,967,0,retained,14.646432745195241,121.0500332,12-03-2023
QUEZON CITY,GASUL ELITE,11,1017,1017,0,retained,14.646432745195241,121.0500332,12-03-2023
QUEZON CITY,REGASCO,11,875,875,0,retained,14.646432745195241,121.0500332,12-03-2023
QUEZON CITY,SOLANE,11,988,988,0,retained,14.646432745195241,121.0500332,12-03-2023
QUEZON CITY,SUPERKALAN,11,948,948,0,retained,14.646432745195241,121.0500332,12-03-2023
SAN JUAN CITY,BRENT GAS,11,909,909,0,retained,14.60540330372096,121.0296483,12-03-2023
SAN JUAN CITY,GASUL,11,967,967,0,retained,14.60540330372096,121.0296483,12-03-2023
SAN JUAN CITY,GASUL ELITE,11,1017,1017,0,retained,14.60540330372096,121.0296483,12-03-2023
SAN JUAN CITY,FIESTA GAS,11,887,887,0,retained,14.60540330372096,121.0296483,12-03-2023
SAN JUAN CITY,SOLANE,11,988,988,0,retained,14.60540330372096,121.0296483,12-03-2023
TAGUIG CITY,BRENT GAS,11,909,909,0,retained,14.528913600150428,121.0699119,12-03-2023
TAGUIG CITY,FIESTA GAS,11,887,887,0,retained,14.528913600150428,121.0699119,12-03-2023
TAGUIG CITY,GASUL,11,967,967,0,increased,14.528913600150428,121.0699119,12-03-2023
TAGUIG CITY,GASUL ELITE,11,1017,1017,0,retained,14.528913600150428,121.0699119,12-03-2023
TAGUIG CITY,PHOENIX SUPER LPG,11,894,894,0,retained,14.528913600150428,121.0699119,12-03-2023
VALENZUELA CITY,BRENT GAS,11,909,909,0,retained,14.691722849317795,120.969607,12-03-2023
VALENZUELA CITY,GASUL,11,967,967,0,retained,14.691722849317795,120.969607,12-03-2023
VALENZUELA CITY,GASUL ELITE,11,1017,1017,0,retained,14.691722849317795,120.969607,12-03-2023
VALENZUELA CITY,ISLAND GAS,11,971,971,0,retained,14.691722849317795,120.969607,12-03-2023
VALENZUELA CITY,M-GAS,11,971,971,0,retained,14.691722849317795,120.969607,12-03-2023
VALENZUELA CITY,SOLANE,11,988,988,0,retained,14.691722849317795,120.969607,12-03-2023
PATEROS,FIESTA GAS,11,887,887,0,retained,14.542056030513287,121.0647396,12-03-2023
PATEROS,GASUL,11,967,967,0,retained,14.542056030513287,121.0647396,12-03-2023
PATEROS,GASUL ELITE,11,1017,1017,0,retained,14.542056030513287,121.0647396,12-03-2023
PATEROS,PHOENIX SUPER LPG,11,894,894,0,retained,14.542056030513287,121.0647396,12-03-2023
PATEROS,SUPERKALAN,11,945,945,0,retained,14.542056030513287,121.0647396,12-03-2023
CALOOCAN CITY,BRENT GAS,5,448,448,0,retained,14.649042486161175,120.9907157,12-03-2023
CALOOCAN CITY,REGASCO,5,415,415,0,retained,14.649042486161175,120.9907157,12-03-2023
CALOOCAN CITY,FIESTA GAS,5,439,439,0,retained,14.649042486161175,120.9907157,12-03-2023
LAS PINAS CITY,BRENT GAS,5,448,448,0,retained,14.449678228154866,120.9825604,12-03-2023
LAS PINAS CITY,M-GAS,5,493,493,0,retained,14.449678228154866,120.9825604,12-03-2023
LAS PINAS CITY,FIESTA GAS,5,439,439,0,retained,14.449678228154866,120.9825604,12-03-2023
MALABON CITY,REGASCO,5,405,405,0,retained,14.65769504678559,120.9510164,12-03-2023
MALABON CITY,FIESTA GAS,5,439,439,0,retained,14.65769504678559,120.9510164,12-03-2023
MANDALUYONG CITY,BRENT GAS,5,448,448,0,retained,14.57772251896094,121.0336944,12-03-2023
MANDALUYONG CITY,FIESTA GAS,5,439,439,0,retained,14.57772251896094,121.0336944,12-03-2023
