,Character,Gamewith Link,Rating,F2P Team,P2W Team
12,Xingqiu,https://gamewith.net/genshin-impact/article/show/22338,['-' 'SS' 'S' 'D'],,"['Sub DPS' 'Xingqiu' 'Sub DPS' 'Yelan' 'Main DPS' 'Hu Tao' 'Support'
 'Zhongli']"
13,Yae Miko,https://gamewith.net/genshin-impact/article/show/24650,['-' 'SS' '-' '-'],"['Main DPS' 'Yae Miko' 'Sub-DPS' 'Xingqiu' 'Sub-DPS' 'Fischl' 'Support'
 'Barbara']","['Main DPS' 'Yae Miko' 'Sub-DPS' 'Dendro Traveler' 'Sub-DPS' 'Fischl'
 'Support' 'Jean']"
14,Yelan,https://gamewith.net/genshin-impact/article/show/33289,['-' 'SS' 'S' '-'],,['Damage' 'Yelan' 'Damage' 'Wriothesley' 'Support' 'Kazuha' 'Heal' 'Diona']
15,Zhongli,https://gamewith.net/genshin-impact/article/show/22838,['-' '-' 'SS' '-'],"['Main DPS' 'Noelle' 'Sub-DPS' 'Lisa' 'Sub-DPS' 'Geo Traveler'
 'Sub-DPS / Shielder' 'Zhongli']","['Main DPS' 'Itto' 'Sub-DPS' 'Albedo' 'Sub-DPS' 'Gorou' 'Support / Shield'
 'Zhongli']"
16,Ayaka,https://gamewith.net/genshin-impact/article/show/22837,['S' '-' '-' '-'],"['Main DPS' 'Ayaka' 'Sub-DPS' 'Xiangling' 'Sub-DPS' 'Xingqiu'
 'Sub-DPS / Healer' 'Diona']",['Main DPS' 'Ayaka' 'Sub-DPS' 'Mona' 'Sub-DPS' 'Kazuha' 'Support' 'Diona']
17,Childe,https://gamewith.net/genshin-impact/article/show/22922,['S' '-' '-' '-'],"['Main DPS' 'Childe' 'Sub-DPS' 'Xiangling' 'Sub-DPS' 'Sucrose' 'Support'
 'Bennett']","['Main DPS' 'Childe' 'Sub-DPS' 'Fischl' 'Sub-DPS' 'Beidou' 'Support'
 'Sucrose']"
18,Fischl,https://gamewith.net/genshin-impact/article/show/22345,['-' 'S' '-' '-'],,"['Sub-DPS' 'Fischl' 'Main DPS' 'Neuvillette' 'Sub-DPS' 'Beidou' 'Support'
 'Kazuha']"
19,Hu Tao,https://gamewith.net/genshin-impact/article/show/23791,['S' '-' '-' '-'],"['Main DPS' 'Hu Tao' 'Sub-DPS' 'Xingqiu' 'Sub-DPS' 'Sucrose' 'Support'
 'Diona']","['Main DPS' 'Hu Tao' 'Sub-DPS' 'Yelan' 'Sub-DPS' 'Xingqiu' 'Shield'
 'Zhongli']"
20,Jean,https://gamewith.net/genshin-impact/article/show/22356,['-' 'C' 'S' 'SS'],"['Main DPS' 'Jean' 'Sub-DPS' 'Rosaria' 'Sub-DPS' 'Xingqiu' 'Support'
 'Sucrose']","['Healer' 'Jean' 'Main DPS' 'Neuvillette' 'Sub-DPS' 'Furina' 'Support'
 'Fischl']"
21,Lyney,https://gamewith.net/genshin-impact/article/show/24369,['S' '-' '-' '-'],,"['Main DPS' 'Lyney' 'Sub-DPS' 'Xiangling' 'Support' 'Kazuha' 'Healing'
 'Bennett']"
22,Navia,https://gamewith.net/genshin-impact/article/show/40238,['S' 'A' '-' '-'],"['DPS' 'Navia' '-Sub-DPS' 'Barbara' 'Support' 'Geo Traveler' 'Sub-DPS'
 'Lisa']","['DPS' 'Navia' 'Sub-DPS' 'Albedo' 'Sub-DPS' 'Xiangling' 'Support'
 'Bennett']"
23,Nilou,https://gamewith.net/genshin-impact/article/show/31554,['-' '-' 'S' '-'],"['Reaction' 'Nilou' 'Heal' 'Barbara' 'Sub-DPS' 'Dendro Traveler' 'Support'
 'Collei']","['Enabler' 'Nilou' 'Sub-DPS' 'Kokomi' 'Support' 'Collei' 'Support'
 'Nahida']"
24,Sucrose,https://gamewith.net/genshin-impact/article/show/22344,['-' '-' 'S' '-'],"['Support' 'Sucrose' 'Main DPS' 'Lisa' 'Sub DPS' 'Dendro Traveler'
 'Support' 'Barbara']","['Support' 'Sucrose' 'Main DPS' 'Klee' 'Sub DPS' 'Yelan' 'Support'
 'Bennett']"
25,Wanderer,https://gamewith.net/genshin-impact/article/show/23288,['S' '-' '-' '-'],"['Main' 'Wanderer' 'Sub-DPS' 'Xingqiu' 'Resonance' 'Xiangling' 'Support'
 'Bennett']",['DPS' 'Wanderer' 'Support' 'Faruzan' 'Sub-DPS' 'Yelan' 'Heal' 'Bennett']
26,Wriothesley,https://gamewith.net/genshin-impact/article/show/40237,['S' '-' '-' '-'],"['Main DPS' 'Wriothesley' 'Sub-DPS' 'Xingqiu' 'Sub-DPS' 'Kaeya' 'Support'
 'Lynette']","['Main DPS' 'Wriothesley' 'Sub-DPS' 'Xiangling' 'Support' 'Bennett'
 'Support' 'Shenhe']"
27,Xianyun,https://gamewith.net/genshin-impact/article/show/41848,['-' '-' 'S' 'SS'],"['Support' 'Xianyun' 'Main DPS' 'Gaming' 'Sub-DPS' 'Xingqiu' 'Support'
 'Bennett']",
28,Albedo,https://gamewith.net/genshin-impact/article/show/23420,['-' 'A' 'A' '-'],"['Main DPS' 'Xiangling' 'Sub-DPS' 'Xingqiu' 'Sub-DPS' 'Albedo' 'Support'
 'Fischl']","['Sub-DPS' 'Albedo' 'Main DPS' 'Xiao' 'Sub-DPS' 'Jean' 'Support / Shield'
 'Zhongli']"
29,Ayato,https://gamewith.net/genshin-impact/article/show/24635,['A' 'A' '-' '-'],"['DPS' 'Ayato' 'Combo' 'Xiangling' 'Heal' 'Barbara' 'Support'
 'Dendro Traveler']","['Main DPS' 'Ayato' 'Reaction' 'Nahida' 'Heal' 'Kuki Shinobu' 'Support'
 'Yun Jin']"
30,Charlotte,https://gamewith.net/genshin-impact/article/show/39069,['-' 'B' 'A' 'A'],['Heal' 'Charlotte' 'DPS' 'Kaeya' 'Support' 'Xingqiu' 'Sub-DPS' 'Collei'],"['Heal' 'Charlotte' 'DPS' 'Neuvillette' 'Sub-DPS' 'Furina' 'Support'
 'Kazuha']"
31,Chevreuse,https://gamewith.net/genshin-impact/article/show/41187,['-' '-' 'A' 'A'],['Heal' 'Chevreuse' 'Support' 'Fischl' 'Sub-DPS' 'Xiangling' 'DPS' 'Lisa'],"['Heal' 'Chevreuse' 'Main DPS' 'Yoimiya' 'Sub-DPS' 'Raiden Shogun'
 'Support' 'Bennett']"
32,Collei,https://gamewith.net/genshin-impact/article/show/28969,['-' 'A' '-' '-'],,"['Sub-DPS' 'Collei' 'DPS' 'Yoimiya' 'Reaction' 'Kokomi' 'Support'
 'Yun Jin']"
