version,version_name,start_date,end_date,5_star_characters,rerun,revenue,banner_days,avg_revenue
2.3,Shadows Amidst Snowstorms,2021-12-14,2022-01-04,Arataki Itto,0,"13,404,072",22,"609,276.00"
2.4,Fleeting Colors in Flight,2022-01-05,2022-01-25,Shenhe ,0,"16,994,406",21,"809,257.43"
2.4,Fleeting Colors in Flight,2022-01-05,2022-01-25,Xiao,1,"16,994,406",21,"809,257.43"
2.4,Fleeting Colors in Flight,2022-01-25,2022-02-15,Zhongli,2,"26,780,298",22,"1,217,286.27"
2.4,Fleeting Colors in Flight,2022-01-25,2022-02-15,Ganyu,1,"26,780,298",22,"1,217,286.27"
2.5,When the Sakura Bloom,2022-02-16,2022-03-08,Yae Miko,0,"15,110,264",21,"719,536.38"
2.5,When the Sakura Bloom,2022-03-08,2022-03-29,Raiden Shogun,1,"33,560,259",22,"1,525,466.32"
2.5,When the Sakura Bloom,2022-03-08,2022-03-29,Sangonomiya Kokomi,1,"33,560,259",22,"1,525,466.32"
2.6,Zephyr of the Violet Garden,2022-03-30,2022-04-19,Kamisato Ayato,0,"22,767,455",21,"1,084,164.52"
2.6,Zephyr of the Violet Garden,2022-03-30,2022-04-19,Venti,2,"22,767,455",21,"1,084,164.52"
2.6,Zephyr of the Violet Garden,2022-04-19,2022-05-31,Kamisato Ayaka,1,"35,939,066",43,"835,792.23"
2.7,Hidden Dreams in the Depths,2022-05-31,2022-06-21,Yelan ,0,"25,612,693",22,"1,164,213.32"
2.7,Hidden Dreams in the Depths,2022-05-31,2022-06-21,Xiao,2,"25,612,693",22,"1,164,213.32"
2.7,Hidden Dreams in the Depths,2022-06-21,2022-07-12,Arataki Itto,1,"12,586,764",22,"572,125.64"
2.8,Summer Fantasia,2022-07-13,2022-08-02,Kaedehara Kazuha,1,"24,808,479",21,"1,181,356.14"
2.8,Summer Fantasia,2022-07-13,2022-08-02,Klee,2,"24,808,479",21,"1,181,356.14"
2.8,Summer Fantasia,2022-08-02,2022-08-23,Yoimiya,1,"14,333,266",22,"651,512.09"
3,The Morn a Thousand Roses Brings,2022-08-23,2022-09-09,Tighnari,0,"19,068,372",18,"1,059,354.00"
3,The Morn a Thousand Roses Brings,2022-08-23,2022-09-09,Zhongli,3,"19,068,372",18,"1,059,354.00"
3,The Morn a Thousand Roses Brings,2022-09-09,2022-09-27,Ganyu,2,"15,681,840",19,"825,360.00"
3,The Morn a Thousand Roses Brings,2022-09-09,2022-09-27,Sangonomiya Kokomi,2,"15,681,840",19,"825,360.00"
3.1,King Deshret and the Three Magi,2022-09-27,2022-10-14,Cyno,0,"19,052,023",18,"1,058,445.72"
3.1,King Deshret and the Three Magi,2022-09-27,2022-10-14,Venti,3,"19,052,023",18,"1,058,445.72"
3.1,King Deshret and the Three Magi,2022-10-14,2022-11-01,Nilou,0,"15,731,680",19,"827,983.16"
3.1,King Deshret and the Three Magi,2022-10-14,2022-11-01,Albedo,2,"15,731,680",19,"827,983.16"
3.2,"Akasha Pulses, the Kalpa Flame Rises",2022-11-01,2022-11-15,Nahida,0,"32,101,943",15,"2,140,129.53"
3.2,"Akasha Pulses, the Kalpa Flame Rises",2022-11-01,2022-11-15,Yoimiya,2,"32,101,943",15,"2,140,129.53"
