version,version_name,start_date,end_date,5_star_characters,rerun,revenue,banner_days,avg_revenue
1,Welcome to Tevyat,2020-09-25,2020-10-19,Venti,0,"30,632,752",25,"1,225,310.08"
1,Welcome to Tevyat,2020-10-20,2020-11-10,Klee,0,"22,750,080",22,"1,034,094.55"
1.1,A New Star Approaches,2020-11-11,2020-11-30,Tartaglia,0,"13,443,619",20,"672,180.95"
1.1,A New Star Approaches,2020-12-01,2020-12-22,Zhongli,0,"16,264,892",22,"739,313.27"
1.2,The Chalk Prince and the Dragon,2020-12-23,2021-01-12,Albedo,0,"11,816,107",21,"562,671.76"
1.2,The Chalk Prince and the Dragon,2021-01-13,2021-02-02,Ganyu,0,"15,669,918",21,"746,186.57"
1.3,All That Glitters,2021-02-03,2021-02-17,Xiao,0,"13,145,115",15,"876,341.00"
1.3,All That Glitters,2021-02-18,2021-03-02,Keqing,0,"9,505,798",13,"731,215.23"
1.3,All That Glitters,2021-03-03,2021-03-16,Hu Tao,0,"12,481,634",14,"891,545.29"
1.4,Invitation to Windblume,2021-03-17,2021-04-06,Venti,1,"16,614,209",21,"791,152.81"
1.4,Invitation to Windblume,2021-04-07,2021-04-27,Tartaglia,1,"6,965,445",21,"331,687.86"
1.5,Beneath the Light of Jadeite,2021-04-28,2021-05-18,Zhongli,1,"10,215,165",21,"486,436.43"
1.5,Beneath the Light of Jadeite,2021-05-19,2021-06-08,Eula,0,"12,619,390",21,"600,923.33"
1.6,Midsummer Island Adventure,2021-06-09,2021-06-29,Klee,1,"7,006,180",21,"333,627.62"
1.6,Midsummer Island Adventure,2021-06-30,2021-07-20,Kaedehara Kazuha,0,"9,807,112",21,"467,005.33"
2,Immovable God and the Eternal Euthymia,2021-07-21,2021-08-10,Kamisato Ayaka,0,"16,451,006",21,"783,381.24"
2,Immovable God and the Eternal Euthymia,2021-08-11,2021-08-31,Yoimiya,0,"8,615,144",21,"410,244.95"
2.1,Floating World Under the Moonlight,2021-09-01,2021-09-20,Raiden Shogun,0,"33,020,905",20,"1,651,045.25"
2.1,Floating World Under the Moonlight,2021-09-21,2021-10-12,Sangonomiya Kokomi,0,"7,020,975",22,"319,135.23"
2.2,Into the Perilous Labyrinth of Fog,2021-10-13,2021-11-02,Tartaglia,2,"7,785,438",21,"370,735.14"
2.2,Into the Perilous Labyrinth of Fog,2021-11-02,2021-11-23,Hu Tao,1,"25,226,952",22,"1,146,679.64"
2.3,Shadows Amidst Snowstorms,2021-11-24,2021-12-14,Albedo,1,"17,026,066",21,"810,765.05"
2.3,Shadows Amidst Snowstorms,2021-11-24,2021-12-14,Eula,1,"17,026,066",21,"810,765.05"
